screen_id,layout_id,skin_id,current_button_state,recommended_dominant_family,recommended_secondary_families,status,notes
lobby-main-screen,lobby-main-main,lobby-main-default,"left nav buttons are plain color slots; no reusable family yet",nav.ink,"commerce.primary (future CTA widgets)",preview-candidate,"左側主選單屬全域導覽，不應沿用 equipment；應改走深墨黑主體 + 金邊 active 的 nav.ink。"
general-list-screen,general-list-main,general-list-default,"common.button.primary already mapped to equipment",equipment.primary,,existing,"武將列表的返回與列表內主操作屬養成/人物系統，維持 equipment。"
general-detail-screen,general-detail-main,general-detail-default,"equipment primary exists; tabs remain screen-specific",equipment.primary,paper.utility,mixed,"主推進操作用 equipment；未選取 tab / 次工具操作未來可抽 paper.utility，右側 tab rail 本體暫保 screen-specific。"
general-portrait-screen,general-portrait-main,general-portrait-default,"common.button.primary already mapped to equipment",equipment.primary,,existing,"立繪彈窗的關閉/確認屬人物系統延伸，沿用 equipment 合理。"
general-quickview-screen,general-quickview-main,general-quickview-default,"micro close button + overlay dismiss only",screen-specific,,keep,"快速檢視屬微型彈層，尺寸與語意太特殊，不值得抽 common family。"
gacha-screen,gacha-main,gacha-default,"mixed legacy sprite-button + commerce primary CTA + gacha-exclusive pull buttons",commerce.primary,paper.utility,mixed,"抽卡結果確認與商店導流屬 commerce；tab / rate info / 非購買型次操作未來可偏 paper.utility；pull1/pull10 仍保留 gacha 專屬。"
shop-main-screen,shop-main-main,shop-main-default,"commerce primary exists for shared CTA; tabs still screen-specific",commerce.primary,paper.utility,mixed,"商城主按鈕已是 commerce；分類 tab 的 inactive/utility 狀態適合抽成 paper.utility。"
support-card-screen,support-card-main,support-card-default,"bottombar gacha uses commerce; list/detail controls mostly screen-specific",equipment.primary,"paper.utility, commerce.primary",preview-candidate,"支援卡主體仍偏養成/收藏，因此 dominant 建議 equipment；跳轉抽卡保留 commerce；篩選/頁籤後續可偏 paper.utility。"
battle-hud-screen,battle-hud-main,battle-hud-default,"portrait and HUD interactions are image-based, not standard buttons",screen-specific,,keep,"戰場 HUD 互動直接綁頭像與 3D 戰鬥資訊，不應硬套 common rectangular family。"
battle-log-screen,battle-log-main,battle-log-default,"small tactical utility color buttons",battle.utility,,keep,"戰鬥日誌的 auto/speed/setting/collapse 屬戰術 HUD 子系統，維持 battle.utility 專用集合。"
action-command-screen,action-command-main,action-command-default,"circular action controls with role-coded colors",battle.command,,keep,"奧義/戰法/單挑/結束回合是戰場命令環，不應與一般矩形按鈕共用 family。"
tiger-tally-screen,tiger-tally-main,tiger-tally-default,"interactive card faces and rarity borders",battle.deployment,,keep,"虎符卡屬部署子系統，與 deploy-panel 應視為同一 workflow family，不抽成 common rectangular buttons。"
deploy-panel-screen,deploy-panel-main,deploy-panel-default,"troop slot cards and placement actions",battle.deployment,,keep,"出兵卡槽與虎符卡互相對應，保留 battle.deployment 子系統一致性。"
duel-challenge-screen,duel-challenge-main,duel-challenge-default,"accept/reject are simple color slots",paper.utility,equipment.primary,preview-candidate,"拒絕/取消可走 paper.utility；接受可借 equipment 的暖金確認感。warning 不應濫用在普通拒絕。"
result-popup-screen,result-popup-main,result-popup-default,"equipment primary + secondary already in use",equipment.primary,equipment.secondary,existing,"結算彈窗的重試/返回屬推進流程收尾，equipment 組合合理。"
unit-info-panel-screen,unit-info-panel-main,unit-info-panel-default,"micro close only",screen-specific,,keep,"右側資訊小面板的關閉鍵太小，保留 screen-specific。"
toast-message-screen,toast-message-main,toast-message-default,"no buttons",none,,n/a,"純訊息顯示，無需 family 分配。"
network-status-screen,network-status-main,network-status-default,"no buttons",none,,n/a,"純狀態指示，無需 family 分配。"
battle-scene-main,"composite of battle-hud / battle-log / action-command / tiger-tally / deploy-panel",none,"composite container only",composite,"battle.command, battle.utility, battle.deployment",n/a,"戰場主 screen 不直接分配單一 dominant family，而是編排各子系統 family。"
